geneID	chr	start	end
Dctn5	NC_045759.1	19426463	19427731
Dctn6	NC_045761.1	17116492	17117942
Def1-1	NC_045757.1	531077	531717
Def1-2	NC_045757.1	533077	533814
Denr	NC_045758.1	10801427	10803532
Dip3	NC_045761.1	3223176	3225118
Dnmt1a	NC_045758.1	13471494	13477750
Dop2	NW_022279593.1	458672	1031508
Drep2	NW_022279612.1	2471701	2538933
Dsx	NC_045760.1	7327160	7378652
E2f8	NW_022279623.1	971876	975449
EF-1a	NC_045758.1	22873386	22878381
Ecr	NC_045758.1	3097466	3172178
Efhd1	NC_045761.1	7178873	7192542
Egl	NC_045757.1	3734602	3739955
Eh1	NC_045757.1	10284339	10289107
Eif2a	NC_045758.1	14304319	14308205
Eif2ak1	NC_045758.1	12252590	12256096
Eif2b3	NC_045757.1	27584402	27589320
Eif4g	NW_022279588.1	3434002	3597970
Emc	NW_022279601.1	1129733	1130695
Es2	NC_045759.1	9066983	9069499
Eth	NC_045761.1	16952438	16954015
Eve	NC_045758.1	9820948	9822809
Exdl2	NC_045761.1	12796230	12798855
Eyg	NC_045759.1	7484590	7497597
Farsb	NC_045761.1	8311167	8314257
Fgfr1op	NC_045758.1	30997264	30999776
Fibp	NC_045757.1	912558	914367
Fru	NC_045757.1	4705084	4760849
Ft	NC_045761.1	18608579	18614256
GRD	NC_045759.1	23768146	23775798
GST-mic1	NC_045757.1	4336276	4337662
Gadd45gip1	NC_045759.1	23197199	23198529
Gaj	NC_045758.1	16108151	16112627
Gemin7	NC_045758.1	25179891	25180383
Glct-1	NC_045759.1	14206371	14207567
GluCl	NC_045760.1	4602702	4660263
Gnao	NW_022279631.1	22699	399374
Gnbp1-2	NC_045761.1	22082672	22084818
Gnf1	NC_045761.1	20265106	20268682
Gns	NC_045758.1	28211018	28214413
Gr10	NC_045758.1	32482560	32486392
Gr11	NC_045761.1	21440297	21441711
Gr12	NC_045761.1	21443688	21445091
Gr13	NC_045761.1	21445233	21446690
Gr14	NC_045761.1	21446938	21448424
Gr15	NC_045761.1	15841966	15843740
Gr16PSE	NC_045760.1	24989385	24990552
Gr17PSE	NC_045760.1	24997694	24998803
Gr18	NC_045760.1	30901093	30904613
Gr19PSE	NC_045760.1	30899873	30900749
Gr2	NC_045758.1	22880508	22887716
Gr20	NC_045760.1	30897854	30900555
Gr21	NC_045760.1	30896443	30897865
Gr22	NC_045760.1	30894831	30896194
Gr23	NC_045760.1	30893065	30894461
Gr24	NC_045760.1	30891323	30892746
Gr25	NC_045760.1	30889567	30891105
Gr26	NC_045760.1	30886411	30889257
Gr27PSE	NC_045760.1	30886472	30887567
Gr28	NC_045760.1	30884350	30886350
Gr29	NC_045760.1	30882777	30884327
Gr3	NC_045757.1	12805000	12825316
Gr30	NC_045760.1	30881022	30882495
Gr31PSE	NC_045760.1	30879680	30880685
Gr32	NC_045760.1	30877970	30879453
Gr33	NC_045760.1	30876294	30877746
Gr34	NC_045760.1	30874392	30875906
Gr35	NC_045760.1	30872637	30874028
Gr36PSE	NC_045760.1	30871007	30872400
Gr37	NC_045760.1	30869496	30870952
Gr38	NC_045760.1	30867864	30869195
Gr39	NC_045760.1	30866180	30867628
Gr4	NC_045759.1	3780773	3782461
Gr40	NC_045760.1	30864179	30865757
Gr41	NC_045757.1	1855393	1856838
Gr42	NC_045757.1	1853533	1854965
Gr43	NC_045760.1	30691510	30692900
Gr44PSE	NC_045760.1	30742196	30743600
Gr45	NC_045760.1	30740235	30741678
Gr46	NC_045760.1	30738429	30739950
Gr47	NC_045760.1	30736746	30738194
Gr48	NC_045761.1	25614704	25616472
Gr49	NC_045761.1	25616801	25618853
Gr5	NC_045761.1	27476371	27480910
Gr50	NC_045761.1	25619300	25621108
Gr51	NC_045761.1	25621607	25623327
Gr52	NC_045761.1	25623764	25625479
Gr53	NC_045761.1	25625701	25628462
Gr54PSE	NC_045761.1	25627755	25629491
Gr55PSE	NC_045761.1	25629928	25631610
Gr56PSE	NC_045761.1	25632043	25633884
Gr57PSE	NC_045761.1	25634376	25636126
Gr58	NC_045758.1	14820810	14822554
Gr6	NC_045758.1	13551445	13554631
Gr7	NC_045758.1	32476120	32490282
Gr8	NC_045761.1	15834907	15836226
Gr9	NC_045761.1	15838657	15840009
GstD1	NC_045761.1	6773410	6776179
GstD2	NC_045761.1	6776774	6778412
GstD3	NC_045761.1	6778599	6780990
GstD5	NC_045761.1	12417690	12422056
GstO1	NC_045757.1	37550676	37553380
GstO2	NC_045757.1	37472242	37475809
GstS2	NC_045757.1	3965209	3967366
GstS3	NC_045759.1	18003386	18005350
GstS5	NC_045759.1	23901380	23902872
GstS6	NC_045759.1	23900116	23901142
GstS8	NW_022279623.1	4232022	4233729
GstT1	NC_045758.1	1023646	1027121
GstT2	NC_045758.1	1025273	1027175
GstT3	NC_045758.1	1027391	1029072
GstZ1	NC_045760.1	4084433	4088440
Gstcd	NC_045757.1	4348093	4350664
Gt	NC_045757.1	34408638	34410705
HSC70	NC_045758.1	6359001	6362200
Hb	NC_045758.1	33804459	33811153
Herpud2	NC_045761.1	21966267	21968563
Hex109	NC_045758.1	3307279	3313199
Hex70b	NC_045758.1	1521191	1524049
Hex83	NC_045758.1	1512383	1514884
HisCl1	NC_045757.1	587191	589764
Hmbs	NC_045758.1	31695181	31697026
Ho	NC_045757.1	35081158	35082931
Hop2	NC_045760.1	11803623	11808389
ITR	NC_045760.1	15913942	15923979
Iars2	NC_045757.1	5952556	5957303
Icmt	NW_022279594.1	637256	807648
Ift52	NC_045758.1	8066692	8068547
Ighmbp2	NC_045761.1	6213543	6217667
Imd	NC_045759.1	21743117	21744248
Ints12	NC_045761.1	8328724	8332434
Ints3	NW_022279628.1	22831	104936
Jtb	NC_045757.1	4348093	4350664
Kr	NC_045757.1	8114178	8121676
Ku80	NC_045761.1	2024523	2027919
LCCH3	NC_045759.1	21105173	21119671
LOC100107367	NC_045759.1	4091297	4107695
LOC100110062	NC_045760.1	5955610	5958467
LOC100112394	NC_045759.1	15329959	15332947
LOC100113484	NC_045758.1	20708651	20714062
LOC100113485	NC_045760.1	14264640	14271315
LOC100113486	NC_045757.1	31996327	32001317
LOC100113488	NC_045761.1	28133748	28139156
LOC100113489	NC_045760.1	15472770	15475448
LOC100113490	NC_045760.1	11800153	11805133
LOC100113492	NC_045758.1	1796192	1799279
LOC100113493	NW_022279604.1	207282	258073
LOC100113494	NC_045760.1	5186060	5188367
LOC100113496	NC_045758.1	20502261	20507506
LOC100113497	NC_045760.1	10289839	10290870
LOC100113501	NC_045757.1	37780412	37782365
LOC100113502	NW_022279596.1	1380161	1387010
LOC100113505	NC_045760.1	33035471	33041723
LOC100113507	NC_045758.1	20787217	20788520
LOC100113511	NC_045760.1	14257479	14259288
LOC100113512	NC_045757.1	32165911	32167985
LOC100113517	NC_045761.1	28130924	28131968
LOC100113518	NC_045760.1	15470668	15472266
LOC100113519	NC_045760.1	11055536	11061690
LOC100113520	NC_045757.1	13686534	13689496
LOC100113522	NC_045758.1	2354725	2356255
LOC100113523	NW_022279604.1	559204	562484
LOC100113525	NC_045760.1	5139847	5142521
LOC100113526	NC_045760.1	10298894	10302733
LOC100113527	NW_022279591.1	5058544	5061467
LOC100113530	NC_045757.1	37758050	37759156
LOC100113537	NW_022279641.1	528381	533166
LOC100113538	NC_045760.1	14248829	14251554
LOC100113539	NC_045757.1	32508899	32512785
LOC100113540	NC_045757.1	7538732	7541427
LOC100113542	NC_045761.1	27515727	27516617
LOC100113545	NC_045760.1	10917721	10939575
LOC100113547	NC_045758.1	2454925	2458807
LOC100113548	NC_045760.1	5064399	5084837
LOC100113551	NC_045757.1	37724335	37725159
LOC100113552	NW_022279596.1	1418362	1421456
LOC100113557	NC_045760.1	32745822	32746833
LOC100113558	NC_045758.1	20790533	20794304
LOC100113559	NC_045759.1	20850297	20851177
LOC100113560	NC_045757.1	32656965	32659399
LOC100113561	NC_045757.1	7532383	7534138
LOC100113566	NC_045760.1	15229887	15237428
LOC100113567	NC_045760.1	10574486	10577840
LOC100113569	NC_045758.1	2458567	2460952
LOC100113570	NC_045760.1	4919416	4920633
LOC100113574	NC_045757.1	37435353	37437467
LOC100113577	NW_022279617.1	2975073	2988985
LOC100113578	NC_045760.1	32732340	32736048
LOC100113581	NW_022279628.1	11039	12299
LOC100113582	NC_045758.1	20793510	20799527
LOC100113583	NW_022279641.1	249814	255137
LOC100113585	NC_045759.1	20916423	20972526
LOC100113588	NC_045757.1	32709707	32712020
LOC100113589	NC_045761.1	15251354	15255156
LOC100113590	NC_045758.1	33266625	33267847
LOC100113592	NC_045760.1	21986642	21992988
LOC100113593	NC_045761.1	27177753	27186152
LOC100113596	NC_045760.1	15072751	15087948
LOC100113599	NC_045758.1	2471823	2473347
LOC100113601	NW_022279604.1	548975	553449
LOC100113606	NW_022279641.1	173218	219322
LOC100113609	NW_022279643.1	3329751	3336655
LOC100113612	NC_045758.1	20802409	20804417
LOC100113615	NW_022279641.1	843944	846119
LOC100113616	NW_022279641.1	253573	256506
LOC100113617	NC_045759.1	21003724	21006481
LOC100113619	NC_045757.1	32716805	32721894
LOC100113623	NC_045761.1	27157020	27164063
LOC100113624	NC_045760.1	15066607	15067429
LOC100113625	NC_045760.1	10443259	10446663
LOC100113627	NC_045757.1	12852781	12856853
LOC100113628	NW_022279641.1	435264	443614
LOC100113629	NC_045758.1	2578513	2580461
LOC100113631	NW_022279604.1	539099	543295
LOC100113635	NC_045760.1	4674962	4676402
LOC100113644	NC_045760.1	32700066	32701395
LOC100113646	NC_045758.1	20800315	20802833
LOC100113651	NC_045759.1	21028962	21036359
LOC100113652	NC_045757.1	32851426	32854782
LOC100113653	NC_045760.1	19339159	19340860
LOC100113655	NC_045758.1	33177756	33179800
LOC100113657	NC_045757.1	19048613	19051202
LOC100113661	NW_022279601.1	661323	664365
LOC100113663	NC_045761.1	27141397	27156468
LOC100113667	NC_045760.1	15064805	15070857
LOC100113668	NC_045760.1	10435763	10437746
LOC100113669	NC_045757.1	12760399	12765604
LOC100113671	NW_022279597.1	188871	214422
LOC100113672	NC_045758.1	2630573	2636389
LOC100113673	NW_022279604.1	514336	534474
LOC100113674	NC_045760.1	4571128	4575017
LOC100113675	NC_045758.1	20577335	20606051
LOC100113681	NC_045761.1	8852486	8857824
LOC100113683	NC_045760.1	32681773	32684074
LOC100113685	NW_022279610.1	1922196	2057004
LOC100113687	NC_045758.1	20804508	20805567
LOC100113688	NW_022279641.1	835631	839534
LOC100113692	NC_045759.1	21328386	21329086
LOC100113694	NC_045757.1	32864281	32865601
LOC100113695	NC_045760.1	19392993	19396626
LOC100113698	NC_045761.1	27137902	27140507
LOC100113700	NC_045760.1	10422226	10426172
LOC100113702	NW_022279597.1	213613	336827
LOC100113703	NC_045758.1	2646164	2649424
LOC100113704	NC_045760.1	4580132	4581561
LOC100113706	NC_045761.1	9112488	9112928
LOC100113708	NC_045760.1	32631801	32633002
LOC100113711	NC_045758.1	20885994	20888028
LOC100113714	NW_022279641.1	820341	825212
LOC100113718	NW_022279614.1	21748	23278
LOC100113719	NC_045757.1	32865820	32868564
LOC100113720	NC_045758.1	32543306	32544510
LOC100113721	NC_045760.1	21936856	21939759
LOC100113722	NC_045761.1	27046022	27107862
LOC100113725	NC_045760.1	15042869	15044987
LOC100113726	NC_045760.1	10412965	10418304
LOC100113728	NC_045758.1	2650051	2651172
LOC100113730	NC_045760.1	4209885	4217245
LOC100113736	NC_045761.1	8642876	8643684
LOC100113741	NC_045758.1	20953289	20954984
LOC100113743	NW_022279641.1	265999	268121
LOC100113748	NC_045757.1	32920398	32921644
LOC100113749	NC_045758.1	32219887	32224741
LOC100113753	NW_022279618.1	281100	514598
LOC100113754	NC_045760.1	21927951	21929437
LOC100113756	NC_045761.1	27003697	27005602
LOC100113758	NW_022279590.1	295308	1131027
LOC100113760	NC_045760.1	14923835	14926354
LOC100113764	NW_022279641.1	443551	454595
LOC100113767	NW_022279604.1	505379	510355
LOC100113768	NC_045760.1	4161102	4171247
LOC100113772	NC_045761.1	8640668	8641182
LOC100113774	NC_045760.1	32422402	32424315
LOC100113776	NC_045758.1	21213994	21216207
LOC100113778	NC_045757.1	19422449	19423805
LOC100113783	NC_045757.1	32921892	32923325
LOC100113785	NC_045758.1	32214660	32220936
LOC100113789	NC_045760.1	14833100	14835552
LOC100113790	NC_045757.1	13841316	13845009
LOC100113791	NC_045758.1	2779415	2810403
LOC100113792	NW_022279604.1	502487	508174
LOC100113793	NW_022279620.1	487025	487631
LOC100113798	NC_045761.1	8606220	8623246
LOC100113804	NC_045758.1	21219649	21226370
LOC100113806	NW_022279641.1	747899	750574
LOC100113807	NC_045759.1	21724188	21726131
LOC100113811	NC_045758.1	32023612	32025328
LOC100113816	NW_022279639.1	2311167	2685955
LOC100113818	NC_045761.1	26760706	26763051
LOC100113821	NC_045757.1	13800242	13806328
LOC100113822	NW_022279641.1	460784	477245
LOC100113823	NC_045758.1	2845442	2850106
LOC100113824	NW_022279604.1	499221	502835
LOC100113825	NC_045760.1	3812938	3814373
LOC100113828	NC_045760.1	32273427	32290764
LOC100113831	NC_045758.1	21262441	21264113
LOC100113833	NC_045757.1	19602085	19622487
LOC100113834	NW_022279624.1	2229212	2250817
LOC100113835	NW_022279641.1	590098	807544
LOC100113839	NC_045759.1	21739303	21741276
LOC100113840	NC_045757.1	33068667	33070628
LOC100113842	NC_045760.1	19113137	19117728
LOC100113844	NC_045758.1	31784641	31786673
LOC100113848	NW_022279624.1	263044	510040
LOC100113849	NC_045760.1	11822396	11824715
LOC100113850	NW_022279641.1	477876	480847
LOC100113852	NC_045758.1	2851933	2853604
LOC100113853	NW_022279604.1	411887	465425
LOC100113855	NC_045760.1	3732162	3734577
LOC100113858	NC_045761.1	7621022	7623322
LOC100113862	NC_045760.1	32172979	32175472
LOC100113863	NC_045758.1	21595881	21598597
LOC100113866	NW_022279624.1	2250971	2466102
LOC100113870	NW_022279601.1	1286550	1293698
LOC100113875	NC_045760.1	19118666	19121778
LOC100113876	NC_045758.1	31783240	31784955
LOC100113883	NC_045761.1	26164717	26168575
LOC100113884	NC_045760.1	14494755	14497754
LOC100113885	NC_045757.1	13792606	13801325
LOC100113886	NW_022279641.1	482099	485156
LOC100113887	NC_045758.1	2853805	2897513
LOC100113889	NW_022279604.1	391335	408455
LOC100113891	NC_045760.1	3719310	3720752
LOC100113898	NC_045761.1	7447257	7450109
LOC100113901	NC_045760.1	32032790	32034563
LOC100113904	NC_045757.1	30882986	30888834
LOC100113905	NW_022279641.1	583359	586586
LOC100113907	NW_022279601.1	1162554	1163922
LOC100113908	NC_045759.1	21752642	21755105
LOC100113909	NC_045757.1	33454569	33463235
LOC100113911	NC_045760.1	19122449	19126362
LOC100113912	NC_045758.1	31706874	31715936
LOC100113913	NW_022279616.1	1026592	1027629
LOC100113915	NC_045760.1	21841666	21875623
LOC100113917	NC_045761.1	25874404	26061823
LOC100113919	NW_022279616.1	1211981	1583728
LOC100113920	NC_045760.1	14486106	14487982
LOC100113921	NC_045760.1	11814953	11819423
LOC100113922	NC_045757.1	13786596	13790776
LOC100113923	NW_022279641.1	491019	493663
LOC100113924	NC_045758.1	3233866	3236782
LOC100113925	NC_045760.1	3525969	3527579
LOC100113931	NC_045761.1	7355826	7357347
LOC100113933	NC_045757.1	11110865	11114987
LOC100113938	NC_045759.1	21777109	21778409
LOC100113939	NC_045757.1	33596683	33598756
LOC100113941	NC_045760.1	19126381	19130167
LOC100113942	NC_045758.1	31693140	31695290
LOC100113951	NC_045760.1	14484738	14488500
LOC100113954	NW_022279641.1	493720	499466
LOC100113955	NC_045758.1	3240816	3244989
LOC100113956	NW_022279638.1	617366	889736
LOC100113958	NC_045760.1	3196648	3199138
LOC100113961	NC_045757.1	22805187	22806250
LOC100113962	NC_045761.1	7327061	7330146
LOC100113967	NC_045760.1	31397441	31401732
LOC100113968	NC_045757.1	11225707	11228919
LOC100113969	NW_022279643.1	506623	506959
LOC100113970	NC_045760.1	22149057	22152825
LOC100113972	NW_022279641.1	565718	579654
LOC100113973	NW_022279587.1	504449	504927
LOC100113975	NC_045757.1	33620755	33623278
LOC100113977	NC_045760.1	19131085	19151415
LOC100113979	NC_045758.1	31686522	31688269
LOC100113985	NC_045761.1	25239179	25546056
LOC100113992	NC_045757.1	13777291	13778191
LOC100113993	NC_045758.1	3299060	3302457
LOC100113994	NC_045760.1	3044315	3050184
LOC100113998	NC_045757.1	22813988	22815420
LOC100113999	NC_045761.1	7294180	7296177
LOC100114003	NC_045757.1	11460286	11463558
LOC100114006	NC_045757.1	21695144	21701979
LOC100114008	NC_045759.1	22007119	22008809
LOC100114009	NC_045757.1	33736117	33738978
LOC100114012	NC_045758.1	31282367	31283826
LOC100114015	NC_045761.1	25525577	25530310
LOC100114017	NW_022279646.1	1508441	1752829
LOC100114023	NC_045757.1	13770097	13775115
LOC100114025	NC_045758.1	3324507	3341047
LOC100114027	NC_045760.1	2780326	2781055
LOC100114031	NC_045757.1	22828726	22832496
LOC100114033	NC_045759.1	10565327	10567716
LOC100114035	NC_045758.1	1778949	1780145
LOC100114036	NC_045758.1	22196877	22198994
LOC100114037	NC_045757.1	21943936	21969845
LOC100114041	NC_045759.1	22307229	22317266
LOC100114043	NC_045757.1	33738783	33741733
LOC100114044	NC_045760.1	19156169	19162900
LOC100114046	NC_045758.1	31118364	31124945
LOC100114049	NW_022279594.1	1150915	1157574
LOC100114050	NW_022279639.1	2729349	2877600
LOC100114054	NC_045757.1	13766308	13769851
LOC100114055	NC_045758.1	3406194	3408558
LOC100114058	NC_045760.1	2741750	2743054
LOC100114061	NC_045757.1	5588625	5589201
LOC100114064	NC_045757.1	22838340	22841071
LOC100114066	NC_045759.1	10571118	10578667
LOC100114068	NC_045760.1	30781178	30782095
LOC100114069	NC_045757.1	11007499	11016289
LOC100114070	NC_045758.1	1790448	1795767
LOC100114072	NC_045760.1	16141053	16147583
LOC100114076	NC_045757.1	19559347	19562209
LOC100114077	NW_022279641.1	561598	564320
LOC100114080	NW_022279658.1	453677	478259
LOC100114081	NC_045759.1	22541266	22545735
LOC100114082	NC_045760.1	26505440	26506909
LOC100114083	NC_045757.1	33760756	33763991
LOC100114084	NC_045758.1	31037520	31038770
LOC100114086	NC_045761.1	25188945	25190836
LOC100114089	NC_045757.1	18314508	18316685
LOC100114090	NC_045757.1	13763864	13766182
LOC100114091	NC_045758.1	3408911	3410216
LOC100114093	NW_022279604.1	358695	362757
LOC100114094	NC_045760.1	2744949	2746523
LOC100114095	NW_022279911.1	43350	57208
LOC100114096	NC_045757.1	5589193	5593615
LOC100114099	NC_045757.1	22602846	22611171
LOC100114100	NC_045761.1	7225772	7234826
LOC100114102	NC_045759.1	10722635	10724972
LOC100114103	NC_045758.1	18401965	18407998
LOC100114104	NC_045760.1	30773616	30776415
LOC100114105	NC_045757.1	11019551	11083708
LOC100114107	NC_045758.1	22339557	22340577
LOC100114108	NC_045757.1	21624802	21628881
LOC100114110	NC_045757.1	19549104	19559545
LOC100114112	NW_022279641.1	556217	561821
LOC100114113	NW_022279638.1	4064079	4177779
LOC100114114	NW_022279591.1	471776	1066736
LOC100114115	NW_022279601.1	1307072	1310700
LOC100114116	NC_045759.1	22784057	22787076
